                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0084,                 1.2393,                 1.2923,                0.00843,                0.63322,                0.58451,                0.61689,                0.39962,                  1.213,                 1.3637,                 1.4481,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0032,                 1.2415,                 1.2892,                0.00846,                0.67094,                0.57724,                0.62173,                0.40024,                 1.2006,                 1.3295,                 1.4232,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99838,                 1.2076,                 1.2794,                0.00835,                0.67484,                0.56041,                0.62424,                 0.4043,                 1.2097,                 1.3253,                 1.4315,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.98646,                  1.201,                 1.2723,                0.00829,                 0.6732,                  0.584,                0.62795,                0.41018,                 1.1876,                 1.2945,                 1.4162,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.98275,                 1.1911,                 1.2742,                 0.0084,                0.66989,                0.57986,                0.63051,                0.41091,                 1.2007,                 1.2998,                 1.4211,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.97838,                 1.1771,                 1.2716,                0.00838,                0.66265,                0.59791,                 0.6372,                 0.4173,                 1.1879,                 1.2896,                 1.4218,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.98216,                 1.1718,                 1.2645,                0.00833,                0.67105,                 0.5962,                0.64056,                0.42038,                 1.1871,                 1.2878,                 1.4171,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.96284,                 1.1437,                 1.2579,                0.00834,                0.68187,                 0.5892,                0.63867,                0.41676,                 1.1903,                  1.292,                 1.4253,                      0,               0.004555,               0.004555,               0.004555
                     57,                 0.9569,                 1.1216,                 1.2489,                0.00835,                 0.6469,                0.60525,                0.63894,                0.41564,                 1.1952,                 1.2842,                 1.4267,                      0,               0.004456,               0.004456,               0.004456
                     58,                 0.9542,                 1.1246,                 1.2495,                 0.0083,                0.64737,                0.62428,                0.64285,                0.42263,                 1.1863,                 1.2634,                 1.4116,                      0,               0.004357,               0.004357,               0.004357
                     59,                 0.9544,                 1.1109,                 1.2447,                0.00838,                0.70366,                0.57306,                0.64091,                0.42209,                 1.1843,                 1.2829,                 1.4145,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.94684,                 1.1068,                 1.2467,                0.00838,                0.68932,                0.57884,                0.64046,                0.42085,                  1.178,                 1.2744,                   1.41,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.94227,                 1.1016,                 1.2464,                0.00841,                0.67872,                 0.5846,                0.63922,                0.41827,                 1.1864,                 1.2651,                  1.412,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.94574,                 1.1067,                 1.2444,                0.00835,                0.69517,                0.58257,                0.64192,                 0.4217,                 1.1761,                 1.2506,                 1.4014,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.92486,                 1.0836,                 1.2295,                0.00828,                0.67239,                0.59368,                0.64564,                0.42295,                 1.1768,                  1.243,                 1.4139,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.92516,                 1.0757,                 1.2317,                 0.0083,                0.67739,                0.59558,                 0.6492,                0.43066,                 1.1703,                 1.2403,                 1.4025,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.92398,                 1.0628,                  1.228,                0.00836,                0.66866,                 0.5974,                0.64156,                0.42571,                  1.175,                 1.2524,                 1.4064,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.92592,                 1.0603,                 1.2277,                0.00831,                0.68649,                0.59187,                0.64959,                 0.4293,                 1.1726,                 1.2484,                 1.4013,                      0,               0.003565,               0.003565,               0.003565
                     67,                 0.9106,                 1.0528,                 1.2167,                0.00825,                0.68336,                0.59916,                0.65619,                0.43764,                 1.1689,                 1.2401,                 1.4023,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.90561,                 1.0388,                 1.2162,                0.00829,                0.68943,                0.59752,                0.65882,                0.43898,                 1.1637,                 1.2358,                 1.3869,                      0,               0.003367,               0.003367,               0.003367
                     69,                 0.8981,                 1.0448,                 1.2164,                0.00829,                 0.7036,                0.58584,                0.65335,                0.43809,                 1.1693,                 1.2297,                 1.4024,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.89743,                 1.0168,                 1.2133,                0.00834,                0.69755,                0.59453,                0.65555,                0.43636,                 1.1653,                 1.2245,                 1.4028,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.89386,                 1.0045,                 1.2068,                0.00822,                 0.6869,                 0.5994,                0.65231,                0.43631,                 1.1709,                 1.2378,                 1.4036,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.89795,                  1.014,                 1.2104,                0.00832,                0.69777,                0.61155,                0.66047,                0.44146,                 1.1578,                 1.2057,                 1.3937,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.88613,                 1.0006,                 1.2035,                0.00828,                0.68294,                0.61599,                 0.6611,                0.44454,                 1.1662,                 1.1904,                 1.4016,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.89557,                0.99856,                 1.2061,                0.00829,                 0.6852,                 0.6286,                0.66646,                0.44363,                 1.1687,                 1.2095,                 1.4058,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.87972,                0.98565,                  1.194,                0.00818,                0.69844,                0.60365,                0.65819,                0.43716,                 1.1687,                 1.2202,                 1.4041,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.87457,                0.97601,                 1.1977,                0.00828,                0.70231,                0.59816,                0.65643,                0.43949,                 1.1644,                 1.2287,                 1.4031,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.86551,                0.96199,                 1.1956,                 0.0083,                0.70191,                  0.592,                0.65998,                0.43905,                 1.1676,                 1.2278,                  1.406,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.86317,                0.97079,                 1.1961,                0.00823,                0.70227,                0.59746,                0.65949,                0.43879,                  1.166,                 1.2109,                 1.4075,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.86327,                0.95411,                 1.1877,                0.00812,                0.69041,                0.60657,                 0.6595,                0.44318,                  1.155,                 1.1927,                 1.3907,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.86563,                0.95133,                 1.1869,                0.00816,                0.69691,                0.61573,                0.66477,                 0.4442,                 1.1577,                 1.1913,                 1.4001,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.85626,                0.93508,                 1.1835,                0.00816,                0.68884,                0.61931,                 0.6646,                 0.4472,                 1.1565,                 1.1893,                 1.4006,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.84936,                0.93304,                 1.1875,                0.00817,                0.68756,                0.61743,                0.66937,                0.44831,                 1.1566,                 1.1935,                 1.3943,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.83964,                0.90948,                  1.171,                0.00826,                0.68043,                0.61872,                0.65949,                0.44343,                 1.1603,                 1.2039,                 1.3964,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.83688,                0.91408,                 1.1654,                 0.0082,                0.70745,                0.61029,                0.66851,                0.44454,                 1.1582,                 1.2098,                 1.3924,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.83594,                0.90382,                 1.1696,                 0.0082,                0.71037,                0.61337,                0.66644,                0.44588,                 1.1548,                 1.1891,                 1.3919,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.83314,                0.89627,                  1.169,                0.00813,                0.70066,                0.61453,                0.67295,                0.45139,                 1.1448,                 1.1891,                 1.3851,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.84136,                0.91689,                 1.1771,                0.00823,                0.73121,                0.60068,                0.67135,                0.45131,                 1.1482,                 1.1918,                 1.3904,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.82071,                0.89224,                 1.1613,                0.00819,                0.71456,                0.60391,                0.66763,                 0.4474,                 1.1419,                 1.1951,                 1.3779,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.80776,                0.88615,                 1.1579,                0.00821,                 0.6863,                0.63891,                0.67326,                0.45165,                 1.1414,                  1.183,                 1.3815,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.75698,                0.71544,                 1.1235,                0.00724,                0.68574,                0.61986,                0.65795,                0.43737,                 1.1481,                  1.215,                 1.3887,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.73776,                0.67784,                 1.1009,                0.00701,                0.69056,                 0.6121,                0.65958,                0.44405,                  1.142,                 1.2069,                 1.3872,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.72679,                0.66878,                 1.0925,                0.00693,                0.72511,                0.60532,                 0.6657,                0.44378,                 1.1562,                 1.2063,                 1.3994,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.71637,                0.65827,                 1.0838,                0.00687,                 0.7103,                0.61133,                0.66833,                0.44768,                 1.1441,                 1.2065,                  1.394,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.71962,                 0.6605,                 1.0964,                0.00696,                0.73287,                0.59657,                0.66692,                 0.4491,                 1.1416,                 1.1969,                  1.391,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.70187,                0.64285,                 1.0841,                0.00701,                0.71209,                0.61535,                0.67088,                0.45248,                 1.1421,                 1.1858,                 1.3962,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.70698,                0.63317,                 1.0781,                0.00685,                0.70844,                 0.6113,                0.66451,                0.44785,                 1.1422,                 1.2043,                 1.3936,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.69429,                0.61882,                 1.0735,                0.00688,                0.72227,                0.60843,                0.66456,                0.44942,                 1.1416,                 1.2129,                  1.396,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.69685,                0.62759,                 1.0719,                0.00682,                0.71825,                0.61469,                0.66433,                0.44885,                 1.1416,                 1.2096,                 1.3963,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.68794,                 0.6111,                 1.0629,                0.00688,                0.72571,                0.60333,                0.66404,                0.44882,                 1.1442,                 1.2158,                 1.4001,                      0,               0.000298,               0.000298,               0.000298
