                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.0406,                 1.3296,                 1.3134,                0.00834,                 0.6674,                0.55411,                0.60817,                0.38837,                 1.2279,                 1.3772,                 1.4523,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0443,                 1.3269,                 1.3212,                0.00832,                0.65235,                0.55234,                0.60023,                0.38703,                 1.2184,                 1.3693,                 1.4446,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0367,                 1.3163,                 1.3178,                0.00829,                0.65934,                 0.5496,                0.60493,                0.39689,                 1.2073,                 1.3558,                  1.433,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0307,                 1.3123,                 1.3117,                0.00821,                0.65228,                0.55391,                0.60506,                 0.3934,                 1.2291,                  1.395,                  1.456,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0338,                 1.2887,                 1.3114,                 0.0083,                0.63782,                0.55449,                0.59567,                0.38018,                 1.2289,                 1.3733,                 1.4507,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0144,                 1.2655,                 1.2913,                0.00821,                0.63846,                0.57906,                0.60691,                0.39332,                 1.1948,                 1.3437,                 1.4348,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0097,                 1.2503,                 1.2962,                0.00811,                0.62343,                0.60073,                0.61722,                0.40424,                 1.1966,                 1.3414,                 1.4305,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.0133,                 1.2349,                  1.286,                0.00805,                0.66972,                0.56741,                0.61998,                0.40612,                 1.2027,                 1.3378,                 1.4304,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0012,                 1.2248,                 1.2884,                0.00802,                0.64494,                0.57325,                0.61037,                0.39618,                 1.2178,                 1.3572,                 1.4553,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0028,                 1.2387,                 1.2852,                0.00813,                 0.6556,                0.58668,                0.61858,                0.40852,                  1.195,                 1.3334,                 1.4261,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99043,                 1.1955,                 1.2769,                 0.0081,                 0.6493,                0.59293,                0.62677,                0.40998,                  1.202,                 1.3045,                 1.4384,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.98347,                 1.1929,                 1.2666,                0.00801,                0.66837,                0.57774,                0.61884,                0.40736,                 1.1869,                 1.3177,                 1.4198,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.97846,                 1.1885,                 1.2696,                0.00803,                0.67619,                 0.5621,                 0.6191,                0.40891,                 1.1947,                  1.299,                  1.423,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.97427,                 1.1786,                  1.269,                0.00797,                0.69094,                0.58421,                0.64255,                0.42147,                 1.1932,                 1.2941,                 1.4254,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.98068,                 1.1712,                 1.2603,                0.00794,                0.67708,                0.57934,                0.63228,                0.41748,                 1.1846,                 1.2979,                 1.4191,                      0,               0.004654,               0.004654,               0.004654
