index,image,clean,valid_pixels,hazy_l1,hazy_mse,hazy_psnr,hazy_ssim,dehaze_l1,dehaze_mse,dehaze_psnr,dehaze_ssim,delta_l1,delta_mse,delta_psnr,delta_ssim
1553,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006240.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006240.jpg,307840,0.21267671883106232,0.06593149900436401,11.80907050118227,0.6472044189771017,0.1559731662273407,0.037763774394989014,14.229246055552027,0.5591615835825602,-0.05670355260372162,-0.028167724609375,2.4201755543697576,-0.0880428353945415
1554,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006241.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006241.jpg,307200,0.28847309947013855,0.10132507234811783,9.94283077491257,0.5683126648267111,0.14127793908119202,0.035002995282411575,14.558947905364708,0.48626943429311115,-0.14719516038894653,-0.06632207706570625,4.616117130452137,-0.08204323053359991
1555,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006249.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006249.jpg,367360,0.21160505712032318,0.05852314829826355,12.32672318708972,0.7575332522392273,0.14865289628505707,0.031256966292858124,15.050531755876806,0.6199215253194174,-0.06295216083526611,-0.027266182005405426,2.7238085687870868,-0.13761172691980994
1556,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006252.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006252.jpg,307200,0.21955277025699615,0.06282258778810501,12.01884178110278,0.708441416422526,0.17592167854309082,0.04324798285961151,13.640341437683986,0.27649346987406415,-0.043631091713905334,-0.0195746049284935,1.6214996565812054,-0.43194794654846186
1557,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006254.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006254.jpg,272640,0.21073365211486816,0.058836400508880615,12.30353904383456,0.6884579261144003,0.14599232375621796,0.03480471670627594,14.583618968378813,0.25677790741125744,-0.06474132835865021,-0.024031683802604675,2.2800799245442533,-0.4316800187031428
1558,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006258.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006258.jpg,307200,0.14289915561676025,0.02663850225508213,15.744901969431348,0.8391695022583008,0.13455896079540253,0.02897769771516323,15.3793612229201,0.5030928353468577,-0.008340194821357727,0.0023391954600811005,-0.36554074651124857,-0.3360766669114431
1559,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006259.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006259.jpg,272640,0.22524675726890564,0.06734529137611389,11.716927637250748,0.7317574421564738,0.17173436284065247,0.045385826379060745,13.43079752570704,0.397507905960083,-0.053512394428253174,-0.021959464997053146,1.7138698884562924,-0.33424953619639075
1560,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006260.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006260.jpg,307200,0.24115216732025146,0.07879624515771866,11.034944772583668,0.5997778574625651,0.15506382286548615,0.03879036009311676,14.11276188800879,0.4683219790458679,-0.08608834445476532,-0.0400058850646019,3.0778171154251233,-0.13145587841669715
1561,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006269.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006269.jpg,307200,0.27560144662857056,0.09185414016246796,10.369012638634374,0.550373782714208,0.15067054331302643,0.03605068102478981,14.430865267139108,0.5447259545326233,-0.12493090331554413,-0.055803459137678146,4.0618526285047345,-0.005647828181584713
1562,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006276.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006276.jpg,310400,0.20825043320655823,0.056854404509067535,12.452358848920381,0.7107954223950704,0.14474955201148987,0.03551119938492775,14.49634659225862,0.41190191109975177,-0.06350088119506836,-0.021343205124139786,2.0439877433382385,-0.29889351129531866
1563,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006277.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006277.jpg,307200,0.33955031633377075,0.13828758895397186,8.592167952389953,0.3270437220732371,0.2960803210735321,0.1121610626578331,9.501578846819207,0.21427327891190848,-0.04346999526023865,-0.026126526296138763,0.9094108944292536,-0.11277044316132864
1564,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006281.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006281.jpg,307200,0.08071114122867584,0.016469918191432953,17.83308558031064,0.9188300569852194,0.17217279970645905,0.03717610985040665,14.297360572454846,0.6921727856000265,0.0914616584777832,0.020706191658973694,-3.5357250078557954,-0.22665727138519287
1565,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006282.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006282.jpg,273920,0.20136894285678864,0.057498615235090256,12.403426144929925,0.7459519902865092,0.1596072018146515,0.039771080017089844,14.004326152223737,0.40940601627031964,-0.041761741042137146,-0.017727535218000412,1.600900007293811,-0.3365459740161895
1566,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006284.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006284.jpg,272640,0.3541705012321472,0.14389748871326447,8.419467852676236,0.26312748591105145,0.2447395920753479,0.08209849148988724,10.856648227056105,0.2636331419150035,-0.10943090915679932,-0.06179899722337723,2.437180374379869,0.0005056560039520264
1567,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006286.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006286.jpg,307200,0.19806928932666779,0.05898670479655266,12.292458643605354,0.6924453775087992,0.1933576911687851,0.054406505078077316,12.64349171062577,0.3207799990971883,-0.00471159815788269,-0.004580199718475342,0.3510330670204169,-0.3716653784116109
1568,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006295.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006295.jpg,307200,0.18882539868354797,0.048703040927648544,13.124439213958984,0.7147496143976847,0.1536775380373001,0.03533133491873741,14.51839953369314,0.2769638846317927,-0.035147860646247864,-0.013371706008911133,1.3939603197341555,-0.437785729765892
1569,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006296.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006296.jpg,327680,0.28731271624565125,0.10495615005493164,9.789921082329379,0.5741384426752726,0.14985841512680054,0.03446400165557861,14.626342975195126,0.4386763075987498,-0.1374543011188507,-0.07049214839935303,4.836421892865747,-0.13546213507652277
