                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.90141,                 1.0359,                 1.2197,                0.00777,                0.68318,                0.61342,                0.65401,                0.43963,                 1.1634,                 1.2308,                 1.3974,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.89725,                 1.0152,                 1.2111,                0.00777,                0.70819,                0.57343,                0.63677,                0.42531,                 1.1784,                 1.2488,                 1.4133,                      0,               0.003169,               0.003169,               0.003169
                     71,                 0.8937,                0.99855,                 1.2062,                0.00775,                0.67863,                0.60545,                0.64826,                0.43377,                 1.1717,                 1.2345,                 1.4049,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.89626,                 1.0147,                 1.2095,                0.00774,                0.68926,                  0.614,                0.65188,                0.43803,                 1.1667,                 1.2269,                 1.4055,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.88677,                0.99756,                 1.2068,                 0.0077,                0.70244,                0.60083,                0.65923,                0.44696,                 1.1603,                 1.2166,                   1.39,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.89061,                0.99662,                  1.205,                0.00773,                 0.7131,                0.59512,                0.65347,                0.43545,                 1.1716,                 1.2383,                 1.4088,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.88864,                0.99777,                 1.2024,                0.00775,                0.71307,                0.60318,                0.66608,                0.44486,                 1.1621,                 1.2055,                 1.3955,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.87823,                0.98232,                 1.1984,                0.00778,                0.71142,                0.59373,                0.65806,                0.44567,                 1.1629,                 1.2233,                 1.4017,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.86344,                0.97095,                 1.1947,                0.00777,                0.71518,                0.59078,                 0.6628,                0.44596,                 1.1622,                 1.2171,                  1.397,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.86638,                0.97532,                 1.1971,                0.00765,                 0.7282,                0.59621,                0.66814,                0.45302,                 1.1575,                 1.1895,                 1.3923,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.86882,                0.95021,                 1.1906,                0.00765,                0.70031,                0.60436,                0.66536,                0.44848,                 1.1569,                 1.2031,                 1.3905,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.85858,                0.95158,                 1.1821,                0.00772,                0.71498,                0.59923,                0.66424,                0.44843,                 1.1575,                 1.2001,                 1.3996,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.85152,                0.93363,                 1.1795,                0.00764,                0.72605,                0.59311,                0.66906,                0.45372,                 1.1461,                 1.1937,                 1.3882,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.84323,                0.93661,                 1.1856,                0.00765,                0.71453,                0.60863,                0.67484,                0.45658,                 1.1492,                 1.1872,                 1.3931,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.84005,                0.90579,                 1.1689,                 0.0077,                 0.7145,                0.60859,                0.66946,                 0.4555,                 1.1527,                 1.1973,                 1.3949,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.83873,                0.90947,                 1.1685,                0.00764,                 0.7038,                0.61976,                 0.6681,                   0.45,                 1.1516,                  1.187,                 1.3844,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.82853,                0.89783,                 1.1662,                0.00763,                0.68914,                0.62448,                0.67025,                0.45463,                 1.1411,                 1.1792,                 1.3808,                      0,               0.001684,               0.001684,               0.001684
